
Label=v(Vout1) vs V(V4)
LabelX=V(V4)
LabelY=v(Vout1)
Data Point Count=66
V(V4),V(V4),v(Vout1)
 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999999836060693E+000
 1.0000000000000000E-003, 1.0000000000000000E-003, 4.9999999836019695E+000
 2.0000000000000000E-003, 2.0000000000000000E-003, 4.9999999835978679E+000
 3.0000000000000001E-003, 3.0000000000000001E-003, 4.9999999835937645E+000
 5.0000000000000001E-003, 5.0000000000000001E-003, 4.9999999835855506E+000
 9.0000000000000011E-003, 9.0000000000000011E-003, 4.9999999835690980E+000
 1.7000000000000001E-002, 1.7000000000000001E-002, 4.9999999835360969E+000
 3.3000000000000002E-002, 3.3000000000000002E-002, 4.9999999834696940E+000
 6.5000000000000002E-002, 6.5000000000000002E-002, 4.9999999833352664E+000
 1.2900000000000000E-001, 1.2900000000000000E-001, 4.9999999830597455E+000
 2.2900000000000001E-001, 2.2900000000000001E-001, 4.9999999826105208E+000
 3.2900000000000001E-001, 3.2900000000000001E-001, 4.9999999821368242E+000
 4.2900000000000005E-001, 4.2900000000000005E-001, 4.9999999816365941E+000
 5.2900000000000003E-001, 5.2900000000000003E-001, 4.9999999811075426E+000
 6.2900000000000000E-001, 6.2900000000000000E-001, 4.9999999805471012E+000
 7.2899999999999998E-001, 7.2899999999999998E-001, 4.9999999799523955E+000
 8.2899999999999996E-001, 8.2899999999999996E-001, 4.9999999793201768E+000
 9.2899999999999994E-001, 9.2899999999999994E-001, 4.9999999786467866E+000
 1.0289999999999999E+000, 1.0289999999999999E+000, 4.9999999779280664E+000
 1.1290000000000000E+000, 1.1290000000000000E+000, 4.9999999771592778E+000
 1.2290000000000001E+000, 1.2290000000000001E+000, 4.9999999763350020E+000
 1.3290000000000002E+000, 1.3290000000000002E+000, 4.9999999754490050E+000
 1.4290000000000003E+000, 1.4290000000000003E+000, 4.9999999744940844E+000
 1.5290000000000004E+000, 1.5290000000000004E+000, 4.9999999734618754E+000
 1.6290000000000004E+000, 1.6290000000000004E+000, 4.9999999723425965E+000
 1.7290000000000005E+000, 1.7290000000000005E+000, 4.9999999711247467E+000
 1.8290000000000006E+000, 1.8290000000000006E+000, 4.9999999697947040E+000
 1.9290000000000007E+000, 1.9290000000000007E+000, 4.9999999683362164E+000
 2.0290000000000008E+000, 2.0290000000000008E+000, 4.9997739203225384E+000
 2.1290000000000009E+000, 2.1290000000000009E+000, 4.9952851735957893E+000
 2.2290000000000010E+000, 2.2290000000000010E+000, 4.9842580509251464E+000
 2.3290000000000011E+000, 2.3290000000000011E+000, 4.9653881266344344E+000
 2.4290000000000012E+000, 2.4290000000000012E+000, 4.9368702855665445E+000
 2.5290000000000012E+000, 2.5290000000000012E+000, 4.8960756736559397E+000
 2.6290000000000013E+000, 2.6290000000000013E+000, 4.8388918560625962E+000
 2.7290000000000014E+000, 2.7290000000000014E+000, 4.7581726318108597E+000
 2.8290000000000015E+000, 2.8290000000000015E+000, 4.6391725641513730E+000
 2.9290000000000016E+000, 2.9290000000000016E+000, 4.4365146310168679E+000
 2.9608876877121006E+000, 2.9608876877121006E+000, 4.3259491536360306E+000
 2.9850534028565487E+000, 2.9850534028565487E+000, 4.1898952343604918E+000
 3.0000911899244693E+000, 3.0000911899244693E+000, 3.8036229120907037E+000
 3.0116244958990848E+000, 3.0116244958990848E+000, 2.8252872197737520E+000
 3.0231578018737002E+000, 3.0231578018737002E+000, 1.8200600246154217E+000
 3.0346911078483156E+000, 3.0346911078483156E+000, 9.4762400769150801E-001
 3.0462244138229311E+000, 3.0462244138229311E+000, 8.2027905530555367E-001
 3.0692910257721624E+000, 3.0692910257721624E+000, 6.8997783890095776E-001
 3.1154242496706250E+000, 3.1154242496706250E+000, 5.3647599279654723E-001
 3.2076906974675503E+000, 3.2076906974675503E+000, 3.5709499430043440E-001
 3.3076906974675504E+000, 3.3076906974675504E+000, 2.3720909075407165E-001
 3.4076906974675505E+000, 3.4076906974675505E+000, 1.5571642017238660E-001
 3.5076906974675506E+000, 3.5076906974675506E+000, 9.8350107063600048E-002
 3.6076906974675507E+000, 3.6076906974675507E+000, 5.7800839313376845E-002
 3.7076906974675508E+000, 3.7076906974675508E+000, 2.9965423363677961E-002
 3.8076906974675508E+000, 3.8076906974675508E+000, 1.2193503207819565E-002
 3.9076906974675509E+000, 3.9076906974675509E+000, 2.6574289417290011E-003
 4.0076906974675506E+000, 4.0076906974675506E+000, 3.2211225995387676E-008
 4.1076906974675502E+000, 4.1076906974675502E+000, 3.0832287567045872E-008
 4.2076906974675499E+000, 4.2076906974675499E+000, 2.9435703301499529E-008
 4.3076906974675495E+000, 4.3076906974675495E+000, 2.8160156324059650E-008
 4.4076906974675492E+000, 4.4076906974675492E+000, 2.6990565312983737E-008
 4.5076906974675488E+000, 4.5076906974675488E+000, 2.5914254555885291E-008
 4.6076906974675484E+000, 4.6076906974675484E+000, 2.4920492697245549E-008
 4.7076906974675481E+000, 4.7076906974675481E+000, 2.4000133695275030E-008
 4.8076906974675477E+000, 4.8076906974675477E+000, 2.3145334505795163E-008
 4.9076906974675474E+000, 4.9076906974675474E+000, 2.2349331021822246E-008
 5.0000000000000000E+000, 5.0000000000000000E+000, 2.1661647741610832E-008
